timestamp,app_name,package,usage_time,total_screen_time,fuzzy_level,
2025-11-25T01:19:24.369931,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:19:24.369931,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T01:38:45.010290,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Tinggi
2025-11-25T02:04:34.106507,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:04:34.106507,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 56 menit 33 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 42 menit 55 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,WhatsApp,com.whatsapp,Sosial,2 jam 30 menit 0 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,System launcher,com.miui.home,Sistem,0 jam 50 menit 24 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,Instagram,com.instagram.android,Sosial,0 jam 49 menit 48 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,18 jam 0 menit 16 detik,Sedang
2025-11-25T02:55:23.022119,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,18 jam 0 menit 16 detik,Sedang
